,NAME,ASIAN,BLACK,HISPANIC,INDIAN,MULTI,WHITE,ADDRESS,BLACKPROP,HISPANICPROP,WHITEPROP,R,G,B,Longitudes,Latitudes
182,PLANT CITY HIGH SCHOOL,31,278,986,12,71,963,"1 Raider Pl, Plant City, FL 33563",0.124831612034127,0.442748091603053,0.43242029636282003,31.832061068702302,110.267175572519,112.90076335877899,-82.12745900000002,27.990044
183,PLANT HIGH SCHOOL,78,169,441,4,96,1553,2415 South Himes Avenue  Tampa  33629,0.078132223763292,0.20388349514563103,0.717984281091077,19.923717059639397,183.08599167822499,51.9902912621359,-82.5022472,27.9238668
184,POTTER ELEMENTARY,4,597,48,0,9,13,3224 East Cayuga,0.9072948328267479,0.072948328267477,0.019756838905775002,231.360182370821,5.03799392097264,18.601823708206698,-82.42380399999999,27.987111
185,PRIDE ELEMENTARY,273,112,170,10,69,331,10310 Lion's Den Drive,0.18270799347471497,0.27732463295269205,0.5399673735725941,46.5905383360522,137.69168026101102,70.71778140293641,-82.3190554,28.1569402
186,PROGRESS VILLAGE MIDDLE SCHOOL,18,297,216,1,70,288,8113 Zinnia Drive,0.37078651685393293,0.269662921348315,0.35955056179775297,94.5505617977528,91.68539325842698,68.7640449438202,-82.366383,27.892107
187,RAMPELLO DOWNTOWN PARTNERSHIP,8,241,198,3,54,240,802 E. Washington Street  Tampa  33602 ,0.35493372606774704,0.29160530191458,0.35346097201767296,90.50810014727541,90.13254786450659,74.35935198821801,-82.4525275,27.9482833
188,RANDALL MIDDLE SCHOOL,62,48,164,4,86,1032,16510 Fishhawk Boulevard,0.038585209003216006,0.13183279742765303,0.8295819935691321,9.83922829581994,211.543408360129,33.6173633440514,-82.2073489,27.857981
189,RCMA LEADERSHIP ACADEMY,1,0,82,0,9,0,18236 US-301 Dade City,0.0,1.0,0.0,0.0,0.0,255.0,-82.190271,28.424194
190,RCMA WIMAUMA ACADEMY,1,0,224,0,3,1,18240 US-301 Dade City,0.0,0.9955555555555551,0.004444444444444,0.0,1.13333333333333,253.866666666667,-82.190097,28.423975
191,REDDICK ELEMENTARY,3,55,786,0,20,71,325 West Lake Drive  Wimauma  33598 ,0.06030701754386,0.861842105263158,0.077850877192983,15.378289473684198,19.8519736842105,219.76973684210498,-82.32062599999999,27.717833
192,RIVERHILLS ELEMENTARY MAGNET,32,149,75,4,40,118,405 Riverhills Drive  Temple Terrace  33617 ,0.435672514619883,0.21929824561403502,0.34502923976608196,111.09649122807,87.98245614035092,55.921052631579,-82.38607999999999,28.020721
193,RIVERVIEW ELEMENTARY ,18,93,164,1,58,260,10809 Hannaway Road,0.17988394584139303,0.317214700193424,0.502901353965184,45.8704061895551,128.23984526112199,80.889748549323,-82.3245075,27.8751431
194,RIVERVIEW HIGH SCHOOL,54,429,786,13,138,1001,11311 Boyette Road  Riverview  33569,0.19359205776173302,0.354693140794224,0.45171480144404297,49.3659747292419,115.18727436823099,90.44675090252709,-82.3122952,27.8498383
195,ROBINSON ELEMENTARY,3,31,422,0,14,211,"4801 South Turkey Creek Road, FL",0.046686746987952006,0.635542168674699,0.317771084337349,11.9051204819277,81.0316265060241,162.063253012048,-82.1711599,27.9475274
196,ROBINSON HIGH SCHOOL,127,233,347,2,153,745,6311 South Lois Avenue  Tampa  33616 ,0.175849056603774,0.26188679245283,0.562264150943396,44.841509433962294,143.377358490566,66.7811320754717,-82.51570129999999,27.8745574
197,ROBLES ELEMENTARY,52,667,71,1,13,72,4405 East Sligh Avenue  Tampa  33610,0.823456790123457,0.08765432098765401,0.08888888888888902,209.981481481481,22.6666666666667,22.351851851851897,-82.40910199999999,28.009718
198,RODGERS MIDDLE SCHOOL,16,166,244,4,53,254,11910 Tucker Road  Riverview  33569,0.25,0.36746987951807203,0.38253012048192797,63.75,97.5451807228916,93.7048192771085,-82.2965981,27.8448942
199,ROLAND PARK K-8 MAGNET,75,173,192,1,66,283,1510 North Manhattan Avenue  Tampa  33607 ,0.266975308641975,0.296296296296296,0.436728395061728,68.0787037037037,111.365740740741,75.55555555555559,-82.5189807,27.9564493
200,ROOSEVELT ELEMENTARY,24,14,85,1,37,549,3205 S Ferdinand Ave,0.021604938271605,0.131172839506173,0.8472222222222221,5.5092592592592595,216.041666666667,33.449074074074105,-82.497947,27.916624
201,RUSKIN ELEMENTARY,5,84,696,1,18,134,101 East College Avenue  Ruskin  33570 ,0.091903719912473,0.7614879649890591,0.146608315098468,23.435448577680503,37.3851203501094,194.17943107221,-82.4328347,27.7123004
202,SCHMIDT ELEMENTARY,9,198,249,0,46,156,1250 Williams Road  Brandon  33510,0.328358208955224,0.4129353233830851,0.258706467661692,83.73134328358209,65.9701492537313,105.298507462687,-82.31959119999999,27.9582456
203,SCHWARZKOPF ELEMENTARY,34,36,227,0,43,342,18333 Calusa Trace Boulevard,0.059504132231404994,0.375206611570248,0.565289256198347,15.1735537190083,144.148760330579,95.6776859504132,-82.5052559,28.1384988
204,SEFFNER ELEMENTARY,14,106,227,1,41,308,109 Cactus Road  Seffner  33584,0.16536661466458702,0.35413416536661496,0.48049921996879896,42.1684867394696,122.52730109204398,90.30421216848671,-82.275544,27.965993
205,SEMINOLE ELEMENTARY,12,150,128,0,43,146,6201 Central Avenue,0.35377358490566,0.30188679245283,0.34433962264150897,90.21226415094341,87.8066037735849,76.9811320754717,-82.72084199999999,27.7713693
206,SEMINOLE HEIGHTS CHARTER SCHOOL,1,149,103,0,14,30,4007 North Florida Avenue  Tampa  33603 ,0.5283687943262411,0.36524822695035497,0.10638297872340399,134.734042553192,27.1276595744681,93.13829787234042,-82.459148,27.981955
207,SESSUMS ELEMENTARY,28,203,384,4,88,454,11525 Ramble Creek Drive  Riverview  33569 ,0.19500480307396698,0.3688760806916429,0.43611911623439,49.7262247838617,111.210374639769,94.0634005763689,-82.32014199999999,27.83392
208,SHAW ELEMENTARY ,4,357,241,2,39,43,11311 North 15th Street  Tampa  33612,0.5569422776911079,0.37597503900156,0.06708268330733201,142.020280811232,17.106084243369697,95.8736349453978,-82.441402,28.0516881
209,SHEEHY ELEMENTARY,0,423,29,0,15,12,6402 North 40th Street  Tampa  33610 ,0.9116379310344829,0.0625,0.025862068965517,232.467672413793,6.5948275862068995,15.9375,-82.4152262,28.0063169
210,SHIELDS MIDDLE SCHOOL,15,201,933,1,56,245,"3810 19th Ave NE, FL",0.145757795503988,0.6765772298767221,0.17766497461928896,37.168237853517,45.304568527918796,172.52719361856398,-82.37071759999999,27.7350715
211,SHORE ELEMENTARY,1,213,82,0,31,43,"1908 E 2nd Ave, Tampa, FL 33605",0.6301775147928989,0.242603550295858,0.127218934911243,160.695266272189,32.4408284023669,61.863905325443795,-82.4375749,27.9570546
212,SICKLES HIGH SCHOOL,125,162,841,9,120,1036,7950 Gunn Highway,0.07945071113290801,0.41245708680725796,0.508092202059833,20.2599313388916,129.563511525258,105.176557135851,-82.5804529,28.079608
213,SIMMONS CAREER CENTER,3,36,86,2,11,87, 1202 West Grant Street  Plant City  33563 ,0.172248803827751,0.411483253588517,0.41626794258373206,43.9234449760766,106.148325358852,104.928229665072,-82.134271,28.0049551
214,SIMMONS EXCEPTIONAL CENTER,0,12,8,0,2,19,1202 W Grant Street  Plant City  33563 ,0.307692307692308,0.20512820512820498,0.48717948717948706,78.4615384615385,124.230769230769,52.3076923076923,-82.134271,28.0049551
215,SLIGH MIDDLE SCHOOL,8,340,99,1,23,40,2011 East Sligh Avenue  Tampa  33610 ,0.709812108559499,0.20668058455114802,0.083507306889353,181.002087682672,21.294363256785,52.70354906054279,-82.4367851,28.0095653
216,SMITH MIDDLE SCHOOL,43,50,450,1,51,206,14303 Citrus Pointe Drive,0.070821529745043,0.6373937677053821,0.291784702549575,18.0594900849858,74.4050991501416,162.535410764873,-82.5734835,28.0762373
217,SOUTH COUNTY CAREER CENTER,1,28,79,1,8,57,2810 John Sherman Way,0.17073170731707302,0.481707317073171,0.347560975609756,43.5365853658537,88.6280487804878,122.835365853659,-82.47245029999999,27.672056
218,SOUTHSHORE CHARTER ACADEMY,20,152,292,3,75,259,11667 Big Bend Road,0.216216216216216,0.415362731152205,0.368421052631579,55.135135135135094,93.94736842105259,105.91749644381201,-82.30264079999999,27.7947975
219,SPOTO HIGH SCHOOL,35,628,588,7,80,292,8538 Eagle Palm Dr,0.41644562334217494,0.38992042440318303,0.193633952254642,106.193633952255,49.3766578249337,99.4297082228117,-82.352188,27.884483
220,SPRINGHEAD ELEMENTARY,8,55,501,0,32,360,3208 Nesmith Road,0.06004366812227099,0.546943231441048,0.3930131004366811,15.311135371178999,100.21834061135401,139.470524017467,-82.070559,27.973527
221,STEINBRENNER HIGH SCHOOL,62,142,517,8,126,1463,5575 W. Lutz Lake Fern Rd.  Lutz  33558 ,0.06691800188501401,0.24363807728558,0.689443920829406,17.064090480678598,175.80819981149898,62.1277097078228,-82.5331815,28.1580425
222,STEWART MIDDLE SCHOOL,30,334,368,2,73,183,"1125 Spruce Street, FL",0.377401129943503,0.41581920903954794,0.20677966101694897,96.2372881355932,52.728813559322006,106.03389830508499,-82.4715368,27.9595213
223,STOWERS ELEMENTARY ,57,89,225,2,80,650,13915 Barrington Stowers Dr,0.092323651452282,0.23340248962655605,0.674273858921162,23.542531120331898,171.93983402489602,59.51763485477179,-82.2584971,27.8491748
224,STRAWBERRY CREST HIGH SCHOOL,149,137,794,6,93,1067,4691 Gallagher Rd.  Dover  33527 ,0.06856856856856901,0.397397397397397,0.534034034034034,17.484984984985,136.178678678679,101.336336336336,-82.2359532,28.022271
225,SULLIVAN PARTNERSHIP ELEM ,0,77,32,0,9,5,"2202 N Florida Ave, Tampa, FL 33602",0.6754385964912281,0.280701754385965,0.043859649122807,172.23684210526298,11.184210526315802,71.5789473684211,-82.459778,27.965333
226,SULPHUR SPRINGS K-8 COMMUNITY,1,544,157,0,42,45,"8412 13th Street, FL",0.7292225201072391,0.21045576407506697,0.060321715817694,185.951742627346,15.382037533512099,53.6662198391421,-82.44654229999999,28.0270161
227,SUMMERFIELD CROSSINGS ELEM,20,226,312,0,78,258,11050 Fairway Meadow Dr,0.28391959798995,0.39195979899497496,0.324120603015075,72.3994974874372,82.6507537688442,99.94974874371859,-82.3235211,27.8003216
228,SUMMERFIELD ELEMENTARY ,16,159,313,3,56,311,11990 Big Bend Road,0.20306513409961702,0.399744572158365,0.397190293742018,51.7816091954023,101.28352490421499,101.934865900383,-82.2888119,27.802801
229,SYMMES ELEMENTARY ,22,101,195,3,62,247,6280 Watson Road  Riverview  33569 ,0.18600368324125197,0.35911602209944704,0.4548802946593,47.4309392265193,115.994475138122,91.5745856353591,-82.308882,27.888705
230,TAMPA BAY BOULEVARD ELEMENTARY ,4,120,574,0,22,51,3111 W Tampa Bay Boulevard,0.161073825503356,0.770469798657718,0.068456375838926,41.07382550335571,17.4563758389262,196.469798657718,-82.4943873,27.9748982
231,TAMPA BAY TECH HIGH SCHOOL ,104,999,519,12,95,258,6410 Orient Road  Tampa  33610 ,0.5625,0.29222972972973,0.14527027027027,143.4375,37.0439189189189,74.5185810810811,-82.375458,28.0073969
232,TAMPA PALMS ELEMENTARY ,282,171,190,4,64,235, 6100 Tampa Palms Boulevard  Tampa  33647,0.28691275167785196,0.318791946308725,0.394295302013423,73.1627516778524,100.545302013423,81.29194630872479,-82.3855658,28.0980097
233,TEMPLE TERRACE ELEMENTARY ,13,342,105,0,46,92,124 Flotto Avenue  Temple Terrace  33617,0.6345083487940629,0.194805194805195,0.170686456400742,161.799628942486,43.52504638218921,49.67532467532471,-82.3912618,28.0346229
234,TERRACE COMMUNITY SCHOOL ,136,74,96,2,41,270,11734 Jefferson Road,0.168181818181818,0.21818181818181798,0.6136363636363641,42.886363636363605,156.477272727273,55.636363636363605,-82.3440583,28.0553063
235,THOMPSON ELEMENTARY,6,144,475,3,38,169,2020 E Shell Point Road  Ruskin  33570,0.182741116751269,0.6027918781725891,0.214467005076142,46.5989847715736,54.6890862944162,153.71192893401002,-82.4071335,27.72047
236,THONOTOSASSA ELEMENTARY ,3,106,88,0,27,160,10050 Skewlee Road,0.299435028248588,0.248587570621469,0.45197740112994395,76.3559322033898,115.25423728813601,63.389830508474596,-82.31174279999999,28.0517618
237,TINKER K-8 SCHOOL,13,99,169,2,105,367,8207 Tinker Street,0.15590551181102402,0.266141732283465,0.5779527559055121,39.755905511811,147.377952755906,67.8661417322835,-82.4768848,27.8470329
238,TOMLIN MIDDLE SCHOOL ,29,124,699,3,57,619,501 North Woodrow Wilson St.  Plant City  33563 ,0.085991678224688,0.48474341192787795,0.42926490984743393,21.9278779472954,109.462552011096,123.609570041609,-82.147233,28.018
239,TOWN & COUNTRY HIGH SCHOOL ,2,32,150,1,14,58,7555 W. Waters Ave.  Tampa  33615,0.133333333333333,0.625,0.24166666666666697,34.0,61.625,159.375,-82.56376589999999,28.0272979
240,TOWN AND COUNTRY ELEMENTARY,12,34,311,0,14,36,6025 Hanley Road,0.089238845144357,0.8162729658792651,0.09448818897637801,22.755905511810997,24.0944881889764,208.149606299213,-82.561317,28.001086
241,TRAPNELL ELEMENTARY ,9,75,398,0,7,120, 1605 West Trapnell,0.12647554806070802,0.671163575042158,0.202360876897133,32.2512647554806,51.602023608768995,171.14671163575,-82.1384138,27.9660648
242,TRINITY SCHOOL FOR CHILDREN ,14,52,350,1,34,322,2402 W. Osborne Avenue,0.07182320441989,0.48342541436464104,0.44475138121547,18.3149171270718,113.41160220994499,123.273480662983,-82.4831509,27.987753
243,TURKEY CREEK MIDDLE SCHOOL,13,57,544,4,36,327,"5005 South Turkey Creek Road, FL",0.061422413793104,0.586206896551724,0.3523706896551721,15.662715517241399,89.854525862069,149.48275862069,-82.17167719999999,27.9443264
244,TURNER BARTELS K-8 SCHOOL,330,365,482,5,101,634,9020 Imperial Oak Boulevard,0.24645509790682,0.325455773126266,0.428089128966914,62.846049966239,109.16272788656299,82.9912221471978,-82.35066700000002,28.168664
245,TWIN LAKES ELEMENTARY ,36,88,495,0,29,74,8507 North Habana Avenue  Tampa  33614 ,0.133942161339422,0.753424657534247,0.11263318112633199,34.1552511415525,28.721461187214604,192.123287671233,-82.4875387,28.0288795
246,USF/PATEL PARTNERSHIP,16,104,33,0,9,36,11801 Bull Run Dr.,0.601156069364162,0.19075144508670497,0.208092485549133,153.294797687861,53.0635838150289,48.641618497109796,-82.4047478,28.0565826
247,VALRICO ELEMENTARY ,28,82,257,5,36,443,609 South Miller Road,0.104859335038363,0.328644501278772,0.5664961636828649,26.7391304347826,144.45652173913,83.804347826087,-82.2426098,27.9285211
248,VALRICO LAKE ADVANTAGE ACAD ,75,69,199,1,54,435,13307 Boyette Road  Riverview  33569,0.098150782361309,0.28307254623044104,0.61877667140825,25.0284495021337,157.788051209104,72.1834992887625,-82.2789579,27.853407
249,VAN BUREN MIDDLE SCHOOL,4,266,115,1,26,21, 8715 North. 22nd Street  Tampa  33604,0.661691542288557,0.28606965174129306,0.052238805970149,168.731343283582,13.320895522388101,72.9477611940298,-82.4338475,28.0311884
250,VILLAGE OF EXCELLENCE,1,214,20,0,5,3, 8718 North 46th Street,0.90295358649789,0.084388185654009,0.012658227848101002,230.25316455696202,3.2278481012658196,21.518987341772103,-82.410358,28.030473
251,VILLAGE OF EXCELLENCE MS ,0,89,14,0,3,1,4600 E. Busch Blvd.  Tampa  33617 ,0.8557692307692311,0.134615384615385,0.009615384615385001,218.22115384615398,2.45192307692308,34.3269230769231,-82.4093863,28.0330842
252,WALDEN LAKE ELEMENTARY ,18,45,292,2,47,484,2800 Turkey Creek Road,0.05481120584652901,0.355663824604141,0.58952496954933,13.976857490864802,150.328867235079,90.694275274056,-82.1690799,27.977697
253,WALKER MIDDLE MAGNET ,149,75,284,1,43,456,8282 North Mobley Road,0.09202453987730098,0.348466257668712,0.5595092024539879,23.4662576687117,142.674846625767,88.8588957055215,-82.5760291,28.1127018
254,WALTON ACADEMY,0,182,5,0,3,1, 4817 N. Florida Avenue  Tampa  33603,0.968085106382979,0.026595744680850998,0.005319148936169999,246.86170212766004,1.3563829787233999,6.78191489361702,-82.459091,27.9894696
255,WATERS CAREER CENTER ,1,45,25,0,1,17,"2704 N Highland Ave, Tampa, FL 33602",0.517241379310345,0.28735632183908,0.195402298850575,131.896551724138,49.8275862068966,73.2758620689655,-82.4631126,27.9680001
256,WEBB MIDDLE SCHOOL,15,53,583,0,52,105,6035 Hanley Road,0.071524966261808,0.7867746288798921,0.1417004048583,18.238866396761104,36.1336032388664,200.62753036437198,-82.56201469999999,28.0025789
257,WEST SHORE ELEMENTARY,7,111,107,0,52,120,7110 South West Shore Boulevard  Tampa  33616,0.32840236686390506,0.316568047337278,0.35502958579881705,83.74260355029591,90.53254437869819,80.72485207100591,-82.5266803,27.8627889
258,WEST TAMPA ELEMENTARY,3,131,285,0,19,12,2700 West Cherry Street  Tampa  33607 ,0.30607476635514,0.66588785046729,0.028037383177569996,78.0490654205608,7.14953271028037,169.80140186915898,-82.4876142,27.9611877
259,WEST UNIVERSITY CHARTER H.S.,4,149,76,0,6,28,11602 N. 15th Street  Tampa  33612 ,0.5889328063241109,0.30039525691699603,0.110671936758893,150.177865612648,28.2213438735178,76.600790513834,-82.44286919999999,28.0529007
260,WESTCHASE ELEMENTARY ,72,34,185,2,69,598,9517 West Linebaugh Avenue,0.04161566707466299,0.226438188494492,0.7319461444308449,10.611995104039199,186.646266829865,57.74173806609551,-82.4797971,28.0400174
261,WHARTON HIGH SCHOOL,147,701,607,5,149,751,20150 Bruce B. Downs  Tampa  33647 ,0.340456532297232,0.294803302574065,0.36474016512870294,86.81641573579408,93.00874210781929,75.17484215638659,-82.3553847,28.1592559
262,WILLIAMS MIDDLE SCHOOL,226,243,133,1,51,178,5020 North 47th Street  Tampa  33610 ,0.43862815884476497,0.240072202166065,0.32129963898916997,111.850180505415,81.9314079422383,61.2184115523466,-82.4065992,27.9918724
263,WILLIS PETERS EXCEPTIONAL CTR,2,13,32,1,3,38,2919 Nelson Avenue  Dover  33527 ,0.156626506024096,0.385542168674699,0.457831325301205,39.9397590361446,116.746987951807,98.31325301204821,-82.2105389,27.9895514
264,WILSON ELEMENTARY,3,23,209,0,14,119,"702 English Street, FL",0.065527065527066,0.5954415954415949,0.339031339031339,16.7094017094017,86.4529914529915,151.837606837607,-82.12930899999999,28.028132
265,WILSON MIDDLE SCHOOL ,28,46,140,2,30,429,1005 Swann Avenue,0.07479674796748,0.227642276422764,0.6975609756097559,19.0731707317073,177.878048780488,58.0487804878049,-82.4697941,27.9383696
266,WIMAUMA ELEMENTARY ,4,38,524,0,14,72,"5709 Hickman St, Wimauma, FL 33598",0.05993690851734999,0.826498422712934,0.113564668769716,15.283911671924301,28.9589905362776,210.75709779179797,-82.3016573,27.710596
267,WINTHROP CHARTER SCHOOL,84,243,413,8,107,441,6204 Scholars Hill Lane  Riverview  33578 ,0.22151321786691,0.376481312670921,0.40200546946217003,56.485870556062004,102.51139471285299,96.0027347310848,-82.3177008,27.8894758
268,WITTER ELEMENTARY,2,303,222,2,39,32,10801 N. 22nd Street  Tampa  33612 ,0.543985637342908,0.39856373429084396,0.057450628366248,138.716337522442,14.6499102333932,101.633752244165,-82.4338812,28.0464305
269,WOODBRIDGE ELEMENTARY ,16,47,478,0,30,60,8301 Woodbridge Boulevard,0.08034188034188,0.8170940170940171,0.102564102564103,20.4871794871795,26.153846153846196,208.358974358974,-82.575902,28.015055
270,WOODMONT CHARTER SCHOOL ,7,449,188,1,42,75,10402 N. 56th Street  Temple Terrace  33617 ,0.6306179775280899,0.264044943820225,0.10533707865168498,160.80758426966298,26.8609550561798,67.3314606741573,-82.3944406,28.043966
271,YATES ELEMENTARY,16,145,285,0,55,248,301 Kingsway Road  Brandon  33510 ,0.213864306784661,0.420353982300885,0.365781710914454,54.535398230088504,93.2743362831858,107.19026548672599,-82.2761067,27.9419758
272,YOUNG MIDDLE MAGNET,12,368,126,2,19,48, 1616 E 33rd Ave Tampa,0.6789667896678969,0.232472324723247,0.08856088560885601,173.136531365314,22.583025830258304,59.280442804428,-82.4403404,27.9807062
